question_id	question_rank	document_title	paragraph_index
94	4	Aspirated_consonant	17
94	5	Wayback_Machine	9
97	1	BBC_Television	30
97	2	University_of_Kansas	15
97	3	The_Times	35
97	4	2008_Summer_Olympics_torch_relay	73
97	5	Materialism	6
100	1	University_of_Kansas	15
100	2	2008_Summer_Olympics_torch_relay	73
100	3	Alexander_Graham_Bell	0
100	4	MP3	11
100	5	Materialism	6
103	1	Aspirated_consonant	31
103	2	University_of_Kansas	15
103	3	National_Archives_and_Records_Administration	27
103	4	Classical_music	56
103	5	Buddhism	31
106	1	Architecture	8
106	2	Phonology	13
106	3	Immunology	8
106	4	Materialism	6
106	5	Aspirated_consonant	17
109	1	MP3	11
109	2	2008_Summer_Olympics_torch_relay	73
109	3	Aspirated_consonant	17
109	4	University_of_Kansas	15
109	5	Daylight_saving_time	13
112	1	Phonology	13
112	2	Materialism	6
112	3	Immunology	8
112	4	Bird_migration	38
112	5	National_Archives_and_Records_Administration	27
115	1	National_Archives_and_Records_Administration	27
115	2	Hunter-gatherer	10
115	3	University_of_Kansas	15
115	4	American_Idol	26
115	5	Aspirated_consonant	5
118	1	Architecture	8
118	2	Aspirated_consonant	17
118	3	Brain	13
118	4	The_Times	35
118	5	Estonian_language	24
121	1	Architecture	8
121	2	Aspirated_consonant	6
121	3	University_of_Kansas	15
121	4	The_Times	35
121	5	Hunter-gatherer	2
124	1	Aspirated_consonant	17
124	2	Josip_Broz_Tito	32
124	3	Estonian_language	24
124	4	Szlachta	3
124	5	University_of_Kansas	15
127	1	Wood	46
127	2	University_of_Kansas	15
127	3	BBC_Television	30
127	4	The_Times	35
127	5	Aspirated_consonant	17
130	1	University_of_Kansas	15
130	2	Materialism	6
130	3	Aspirated_consonant	17
130	4	Immunology	8
130	5	BBC_Television	30
133	1	University_of_Kansas	15
133	2	Hunter-gatherer	10
133	3	Wayback_Machine	9
133	4	Royal_Institute_of_British_Architects	14
133	5	National_Archives_and_Records_Administration	27
136	1	Architecture	8
136	2	The_Times	35
136	3	2008_Summer_Olympics_torch_relay	73
136	4	MP3	11
136	5	Hunter-gatherer	2
139	1	University_of_Kansas	15
139	2	MP3	11
139	3	2008_Summer_Olympics_torch_relay	73
139	4	Wayback_Machine	9
139	5	BBC_Television	30
142	1	Architecture	8
142	2	Dog	69
142	3	Saint_Helena	78
142	4	Near_East	18
142	5	University_of_Kansas	15
145	1	2008_Sichuan_earthquake	35
145	2	Wood	46
145	3	Josip_Broz_Tito	32
145	4	Aspirated_consonant	17
145	5	Alexander_Graham_Bell	0
148	1	University_of_Kansas	15
148	2	2008_Summer_Olympics_torch_relay	73
148	3	The_Times	35
148	4	Buddhism	31
148	5	Architecture	8
151	1	BBC_Television	30
151	2	Architecture	8
151	3	Aspirated_consonant	5
151	4	University_of_Kansas	15
151	5	Alexander_Graham_Bell	0
154	1	University_of_Kansas	15
154	2	Buddhism	31
154	3	Aspirated_consonant	5
154	4	MP3	11
154	5	The_Times	35
157	1	Aspirated_consonant	31
157	2	The_Times	35
157	3	Estonian_language	24
157	4	Bird_migration	38
157	5	Architecture	8
160	1	Aspirated_consonant	17
160	2	Estonian_language	24
160	3	Materialism	6
160	4	2008_Sichuan_earthquake	35
160	5	Buddhism	31
163	1	Aspirated_consonant	5
163	2	Buddhism	31
163	3	Materialism	6
163	4	Marshall_Islands	42
163	5	University_of_Kansas	15
166	1	The_Times	50
166	2	Space_Race	60
166	3	Aspirated_consonant	31
166	4	National_Archives_and_Records_Administration	27
166	5	Materialism	6
169	1	Materialism	6
169	2	Bern	49
169	3	University_of_Kansas	15
169	4	Szlachta	3
169	5	2008_Summer_Olympics_torch_relay	73
172	1	University_of_Kansas	15
172	2	Southampton	37
172	3	Wayback_Machine	9
172	4	Prime_minister	18
172	5	2008_Summer_Olympics_torch_relay	73
175	1	Aspirated_consonant	17
175	2	Immunology	8
175	3	Materialism	6
175	4	University_of_Kansas	15
175	5	BBC_Television	30
178	1	Materialism	6
178	2	The_Times	35
178	3	Estonian_language	24
178	4	Aspirated_consonant	31
178	5	Architecture	8
181	1	Buddhism	31
181	2	Alexander_Graham_Bell	0
181	3	The_Times	35
181	4	Estonian_language	24
181	5	Architecture	8
184	1	Black_people	11
184	2	Buddhism	31
184	3	MP3	11
184	4	Solar_energy	38
184	5	Hunter-gatherer	10
187	1	University_of_Kansas	15
187	2	Aspirated_consonant	17
187	3	BBC_Television	30
187	4	Wood	46
187	5	Materialism	6
190	1	Marshall_Islands	42
190	2	University_of_Kansas	15
190	3	Materialism	6
190	4	Phonology	12
190	5	National_Archives_and_Records_Administration	27
193	1	University_of_Kansas	15
193	2	National_Archives_and_Records_Administration	27
193	3	Bern	49
193	4	Materialism	6
193	5	Aspirated_consonant	17
196	1	University_of_Kansas	15
196	2	The_Times	35
196	3	Bern	49
196	4	2008_Summer_Olympics_torch_relay	73
196	5	Architecture	8
199	1	University_of_Kansas	15
199	2	Internet_service_provider	1
199	3	BBC_Television	30
199	4	Wood	46
199	5	Aspirated_consonant	17
202	1	Materialism	6
202	2	BBC_Television	30
202	3	The_Times	35
202	4	Aspirated_consonant	31
202	5	Architecture	8
205	1	University_of_Kansas	15
205	2	National_Archives_and_Records_Administration	27
205	3	Alexander_Graham_Bell	0
205	4	MP3	11
205	5	Materialism	6
208	1	The_Times	35
208	2	Alexander_Graham_Bell	0
208	3	Aspirated_consonant	17
208	4	MP3	11
208	5	BBC_Television	30
211	1	Architecture	8
211	2	The_Times	35
211	3	Dog	69
211	4	Phonology	13
211	5	BBC_Television	30
214	1	List_of_numbered_streets_in_Manhattan	29
214	2	MP3	11
214	3	Somalis	46
214	4	Southampton	76
214	5	Aspirated_consonant	31
217	1	The_Times	35
217	2	Architecture	8
217	3	Alexander_Graham_Bell	0
217	4	Aspirated_consonant	17
217	5	BBC_Television	30
220	1	Architecture	8
220	2	The_Times	35
220	3	Hunter-gatherer	2
220	4	Phonology	13
220	5	Estonian_language	24
223	1	Aspirated_consonant	17
223	2	Wood	46
223	3	Architecture	8
223	4	Alexander_Graham_Bell	0
223	5	BBC_Television	30
226	1	National_Archives_and_Records_Administration	27
226	2	University_of_Kansas	15
226	3	Catalan_language	23
226	4	Hunter-gatherer	10
226	5	2008_Summer_Olympics_torch_relay	73
229	1	Buddhism	31
229	2	Prime_minister	18
229	3	National_Archives_and_Records_Administration	18
229	4	MP3	11
229	5	List_of_numbered_streets_in_Manhattan	29
232	1	Materialism	6
232	2	Aspirated_consonant	5
232	3	University_of_Kansas	15
232	4	MP3	11
232	5	Buddhism	31
235	1	Materialism	6
235	2	University_of_Kansas	15
235	3	The_Times	35
235	4	National_Archives_and_Records_Administration	27
235	5	Architecture	8
238	1	University_of_Kansas	15
238	2	2008_Summer_Olympics_torch_relay	73
238	3	Wood	46
238	4	Materialism	6
238	5	BBC_Television	30
241	1	University_of_Kansas	15
241	2	MP3	11
241	3	Wayback_Machine	9
241	4	Bern	49
241	5	2008_Summer_Olympics_torch_relay	73
244	1	University_of_Kansas	15
244	2	Wayback_Machine	9
244	3	Phonology	13
244	4	Aspirated_consonant	17
244	5	BBC_Television	30
247	1	Buddhism	31
247	2	The_Times	35
247	3	Architecture	8
247	4	Aspirated_consonant	31
247	5	Alexander_Graham_Bell	0
250	1	University_of_Kansas	15
250	2	Alexander_Graham_Bell	0
250	3	BBC_Television	30
250	4	Wood	46
250	5	Aspirated_consonant	17
253	1	BBC_Television	30
253	2	Architecture	8
253	3	Alexander_Graham_Bell	0
253	4	The_Times	35
253	5	University_of_Kansas	15
256	1	Classical_music	56
256	2	Hydrogen	19
256	3	Buddhism	31
256	4	National_Archives_and_Records_Administration	27
256	5	Aspirated_consonant	5
259	1	University_of_Kansas	15
259	2	Aspirated_consonant	17
259	3	National_Archives_and_Records_Administration	27
259	4	Space_Race	60
259	5	Materialism	6
262	1	List_of_numbered_streets_in_Manhattan	29
262	2	Southampton	37
262	3	Buddhism	31
262	4	National_Archives_and_Records_Administration	18
262	5	The_Times	35
265	1	Wood	46
265	2	University_of_Kansas	15
265	3	Aspirated_consonant	17
265	4	The_Times	35
265	5	BBC_Television	30
268	1	University_of_Kansas	15
268	2	Szlachta	3
268	3	Aspirated_consonant	17
268	4	National_Archives_and_Records_Administration	27
268	5	Materialism	6
271	1	Materialism	6
271	2	Southampton	76
271	3	Aspirated_consonant	31
271	4	Aspirated_consonant	5
271	5	Buddhism	31
274	1	Wood	46
274	2	Alexander_Graham_Bell	0
274	3	Beyoncé	25
274	4	MP3	11
274	5	University_of_Kansas	15
277	1	Architecture	8
277	2	MP3	11
277	3	Aspirated_consonant	17
277	4	The_Times	35
277	5	Dog	69
280	1	University_of_Kansas	15
280	2	Architecture	8
280	3	BBC_Television	30
280	4	Alexander_Graham_Bell	0
280	5	Materialism	6
283	1	Guinea-Bissau	38
283	2	Buddhism	31
283	3	Materialism	6
283	4	Aspirated_consonant	31
283	5	Dog	69
286	1	The_Times	35
286	2	Architecture	8
286	3	Aspirated_consonant	17
286	4	Near_East	18
286	5	Josip_Broz_Tito	32
289	1	BBC_Television	30
289	2	Alexander_Graham_Bell	0
289	3	University_of_Kansas	15
289	4	Wood	46
289	5	Aspirated_consonant	17
292	1	Southampton	37
292	2	The_Times	35
292	3	Aspirated_consonant	17
292	4	Saint_Helena	78
292	5	Materialism	6
295	1	University_of_Kansas	15
295	2	Materialism	6
295	3	The_Times	35
295	4	Estonian_language	24
295	5	2008_Summer_Olympics_torch_relay	73
298	1	Architecture	8
298	2	Atlantic_City,_New_Jersey	25
298	3	Phonology	13
298	4	BBC_Television	30
298	5	Dog	69
